"germplasmName","FullSampleName"
"TZKBH14_202","KBH2014_202:CA93YANXX:4:526000"
"TZKBH14_215","KBH2014_215:CA8RLANXX:3:525920"
"TZKBH14_282","KBH2014_282:CA8RLANXX:5:526126"
"TZKBH14_288","KBH2014_288:CA8RLANXX:3:525908"
"TZKBH14_415","KBH2014_415:CA8RLANXX:3:525881"
"TZKBH14_422","KBH2014_422:CA8RLANXX:3:525866"
"TZKBH14_547","KBH2014_547:CA8RLANXX:3:525931"
"TZKBH14_636","KBH2014_636:CA8RLANXX:6:526235"
"TZKBH14_694","KBH2014_694:CA93YANXX:4:526050"
"TZKBH14_696","KBH2014_696:CA93YANXX:4:525990"
"TZKBH14_702","KBH2014_702:CA8RLANXX:6:526224"
"TZKBH14_793","KBH2014_793:CA93YANXX:4:526014"
"TZKBH14_934","KBH2014_934:CA8RLANXX:6:526206"
"TZKBH14_996","KBH2014_996:CA8RLANXX:6:526217"
"TZKBH14FS011","KBH2014_011:CA8RLANXX:3:525891"
"TZKBH14FS017","KBH2014_017:CA93YANXX:4:525986"
"TZKBH14FS019","KBH2014_019:CA8RLANXX:5:526054"
"TZKBH14FS020","KBH2014_020:CA93YANXX:4:525964"
"TZKBH14FS021","KBH2014_021:CA93YANXX:4:525987"
"TZKBH14FS022","KBH2014_022:CA93YANXX:4:526029"
"TZKBH14FS023","KBH2014_023:CA93YANXX:4:525982"
"TZKBH14FS053","KBH2014_053:CA93YANXX:4:525960"
"TZKBH14FS054","KBH2014_054:CA8RLANXX:3:525951"
"TZKBH14FS059","KBH2014_059:CA93YANXX:4:526038"
"TZKBH14FS063","KBH2014_063:CA93YANXX:4:525970"
"TZKBH14FS067","KBH2014_067:CA8RLANXX:3:525953"
"TZKBH14FS072","KBH2014_072:CA8RLANXX:3:525952"
"TZKBH14FS073","KBH2014_073:CA93YANXX:4:526013"
"TZKBH14FS076","KBH2014_076:CA93YANXX:4:525971"
"TZKBH14FS079","KBH2014_079:CA93YANXX:4:525975"
"TZKBH14FS085","KBH2014_085:CA8RLANXX:3:525916"
"TZKBH14FS087","KBH2014_087:CA93YANXX:4:526005"
"TZKBH14FS088","KBH2014_088:CA8RLANXX:3:525868"
"TZKBH14FS1176","KBH2014_1176:CA8RLANXX:5:526131"
