"germplasmName","FullSampleName"
"TZUKG1207_002","UKG1207_002:CAAC5ANXX:7:526739"
"TZUKG1207_013","UKG1207_013:CAAC5ANXX:7:526755"
"TZUKG1207_014","UKG1207_014:CAAC5ANXX:7:526766"
"TZUKG1207_038","UKG1207_038:CAAC5ANXX:7:526789"
"TZUKG1207_040","UKG1207_040:CAAC5ANXX:7:526731"
"TZUKG1208_002","UKG1208_002:CAAC5ANXX:7:526734"
"TZUKG1208_004","UKG1208_004:CAAC5ANXX:7:526804"
"TZUKG1209_001","UKG1209_001:CAAC5ANXX:7:526773"
"TZUKG1210_003","UKG1210_003:CAAC5ANXX:7:526741"
"TZUKG1214_002","UKG1214_002:CAAC5ANXX:7:526758"
"TZUKG1214_011","UKG1214_011:CAAC5ANXX:7:526756"
"TZUKG1214_019","UKG1214_019:CAAC5ANXX:7:526797"
"TZUKG1214_024","UKG1214_024:CAAC5ANXX:7:526792"
"TZUKG1216_001","UKG1216_001:CAAC5ANXX:7:526729"
"TZUKG1216_006","UKG1216_006:CAAC5ANXX:7:526743"
"TZUKG1216_007",NA
"TZUKG1216_019","UKG1216_019:CAAC5ANXX:7:526744"
"TZUKG1218_010","UKG1218_010:CAAC5ANXX:7:526752"
"TZUKG1218_013","UKG1218_013:CAAC5ANXX:7:526763"
"TZUKG1219_005","UKG1219_005:CAAC5ANXX:7:526771"
"TZUKG1221_003",NA
"TZUKG1221_005","UKG1221_005:CAAC5ANXX:7:526748"
"TZUKG1221_008","UKG1221_008:CAAC5ANXX:7:526807"
"TZUKG1221_014",NA
"TZUKG1221_015","UKG1221_015:CAAC5ANXX:7:526796"
"TZUKG1221_022","UKG1221_022:CAAC5ANXX:7:526736"
"TZUKG1222_005",NA
"TZUKG1222_010","UKG1222_010:CAAC5ANXX:7:526819"
"TZUKG1223_010",NA
"TZUKG1228_005",NA
"TZUKG1229_002","UKG1229_002:CAAC5ANXX:7:526760"
"TZUKG1229_008",NA
"TZUKG12OP01_025","UKG12OP01_025:CAAC5ANXX:7:526753"
"TZUKG12OP01_036","UKG12OP01_036:CAAC5ANXX:7:526801"
"TZUKG12OP01_040","UKG12OP01_040:CAAC5ANXX:7:526733"
"TZUKG12OP01_060","UKG12OP01_060:CAAC5ANXX:7:526782"
"TZUKG12OP01_061","UKG12OP01_061:CAAC5ANXX:7:526794"
"TZUKG12OP01_078",NA
"TZUKG12OP01_080","UKG12OP01_080:CAAC5ANXX:7:526810"
"TZUKG12OP01_082","UKG12OP01_082:CAAC5ANXX:7:526746"
